"'116.467202777777777777777777777777777778,39.8577888888888888888888888888888888889'",'北京大洋路','北京朝阳区大洋路综合市场','166','http://www.dylsc.com/'
'null','北京来广营','北京来广营乡蔬菜批发市场','94','http://'
"'116.228597,39.9303167'",'京锦绣大地','北京锦绣大地农副产品批发市场','0','http://www.gldadi.com/'
'null','曹安四平','上海曹安四平水产品批发市场','0','null'
'null','上海光彩','上海光彩土特产品交易中心','0','null'
"'121.55764,31.1666'",'上海农产品','上海农产品中心批发市场经营管理有限公司','0','http://www.shncp.com'
'null','上海商城','上海七宝商城农副产品综合交易市场','42','null'
"'117.24127,39.083058'",'天津何庄子','天津何庄子鲜活农产品中心批发市场','0','http://www.tjhzz.net/'
'null','津北方生猪','天津宝坻北方生猪批发交易市场','32','null'
'null','津海鲜水产','天津市津鱼海鲜水产交易市场','0','null'
'null','津何肉市场','天津市何庄子肉类禽蛋水产批发市场','0','null'
"'117.102883,39.08032'",'天津红旗','天津市红旗农贸综合批发市场有限公司','0','http://'
"'116.9525928477,39.0850944920'",'天津当城','天津碧城农产品批发市场','54','http://www.tj-dcsc.com'
'null','王顶堤水产','天津南开区王顶堤水产批发市场','67','null'
"'115.5004,38.8168527777777777777777777777777777778'",'河北保定','河北保定工农路蔬菜果品批发市场','0','http://'
"'112.5116,37.8106'",'晋太原河西','山西省太原市河西农产品有限公司','0','http://www.tyhx.com.cn/'
"'113.259408333333333333333333333333333333,40.0730944444444444444444444444444444444'",'晋大同振华','山西省大同市振华蔬菜批发市场有限责任公司','54','http://'
'null','晋太原晋祠','山西太原晋祠路农产品批发市场','31','null'
"'113.084378,36.20179'",'晋长治紫坊','山西省长治市紫坊农产品综合交易市场有限公司','0','http://'
'null','黑龙江鹤岗','黑龙江鹤岗市昌南蔬菜综合批发市场','76','null'
"'126.613522222222222222222222222222222222,45.67625'",'哈尔滨地利','哈尔滨地利农副产品有限公司','0','http://'
"'117.0620,36.69163'",'济南七里堡','济南七里堡市场有限公司','0','http://'
"'116.2725583,39.876841'",'岳各庄市场','北京京丰岳各庄农副产品批发市场','25','http://www.ygzapm.com/'
'null','浙衢州粮食','浙江衢州市粮食批发交易市场','85','null'
"'114.027955,22.976025'",'大京九农批','广东东莞市大京九农副产品中心批发市场','0','http://'
'null','陕蒲城祥塬','陕西省蒲城祥塬蔬菜瓜果批发市场','3','null'
"'113,34.76543'",'北京光彩馆','北京光彩馆蔬菜批发市场','0','</p></td><object data
"'112.824775,35.4901833333333333333333333333333333333'",'晋晋城绿欣','山西晋城绿欣农产品批发交易中心','0','http://'
"'113.5684,37.8606'",'晋阳泉菜果','阳泉蔬菜副食有限公司','53','http://www.yqlvlan.cn/'
"'111.683894444444444444444444444444444444,40.7986'",'东瓦窑市场','内蒙古呼和浩特市东瓦窑农副产品批发市场有限责任公司','23','http://'
"'109.824058,40.643630'",'包头市友谊','内蒙包头市友谊蔬菜批发市场','82','http://www.btyysc.com/'
'null','呼市惠东','内蒙呼市惠东农副产品批发市场','56','null'
'null','包头裕丰','内蒙包头裕丰粮油批发市场','0','null'
"'111.68063,40.76986'",'内蒙古美通','呼和浩特市美通首府无公害农产品批发市场','0','http://www.sqsm.com'
'null','呼市馨方园','内蒙呼市馨方园农副产品批发市场有限责任公司','27','null'
'null','满州里五兴','内蒙满州里五兴经贸有限责任公司出口','0','null'
'null','沈阳十二线','辽宁沈阳十二线蔬菜批发市场','0','null'
"'121.620,38.92499'",'大连双兴','大连双兴商品城有限公司','0','http://'
'null','沈阳张士','辽宁沈阳张士农副产品批发市场','31','null'
'null','沈阳南五','辽宁沈阳南五农副产品批发市场','0','null'
'null','沈阳水产品','辽宁沈阳水产品批发市场','0','null'
'null','沈阳南二','辽宁沈阳中国小食品城','0','null'
"'125.293494444444444444444444444444444444,43.9220861111111111111111111111111111111'",'长春蔬菜','长春蔬菜中心批发市场集团有限公司','0','http://'
'null','吉林延吉','吉林延吉新丰农副产品批发市场','0','null'
'null','吉林江山','吉林长春江山绿特优农产品储运批发市场','0','http://'
'null','吉林桦皮厂','吉林昌邑区桦皮厂镇农副产品批发市场','0','null'
"'125.148819,42.9329'",'吉林贸发','吉林省辽源市仙城物流园区有限公司','0','http://'
'null','哈尔滨蔬菜','黑龙江哈尔滨市蔬菜副食品批发市场','12','null'
'null','绥芬河果菜','黑龙江绥芬河市食品果蔬外销市场','0','null'
"'129.6046861,44.566086111'",'牡丹江地利','牡丹江地利农副产品有限公司','0','http://www.nong12.com'
'null','黑龙江鸡西','黑龙江鸡西市蔬菜批发交易市场','0','null'
'null','哈尔滨新发','黑龙江哈尔滨新发蔬菜批发市场','0','null'
'null','贵州贵阳','贵州贵阳各专业批发市场','0','null'
"'120.10598611,30.3803'",'浙杭州良渚','浙江良渚蔬菜市场开发有限公司','0','http://'
"'120.697352,30.743494'",'浙嘉兴水果','浙江嘉兴水果市场','27','http://www.jxsgsc.com/'
"'120.696286111111111111111111111111111111,30.748225'",'浙嘉兴蔬菜','浙江嘉兴蔬菜批发交易市场','0','http://jxveg.com'
"'119.274552777777777777777777777777777778,25.9670611111111111111111111111111111111'",'闽海峡蔬菜','福建省福州市海峡蔬菜批发市场','53','http://'
'null','闽厦门蔬菜','福建厦门农产品蔬菜批发市场','25','null'
'null','古田食用菌','福建古田食用菌批发市场','0','null'
'null','闽福州水产','福建福州水产批发市场','0','null'
'null','江西南昌','江西南昌批发市场','0','null'
"'116.044933,29.747925'",'赣九江琵琶湖','江西九江琵琶湖农产品物流有限公司','0','http://'
'null','南昌贤士湖','江西南昌贤士湖农副产品批发市场','61','null'
"'115.925208,28.61147'",'南昌农产品','南昌深圳农产品中心批发市场有限公司','0','http://www.ncncp.com/'
'null','赣南昌生猪','江西南昌佛塔生猪交易批发市场','30','null'
'null','江西禽蛋','江西南昌小蓝禽蛋批发市场','0','null'
'null','洛阳蔬菜','河南洛阳蔬菜批发中心市场','0','null'
'null','郑州陈砦','河南郑州陈砦蔬菜批发市场','0','null'
"'114.965044444444444444444444444444444444,35.7019305555555555555555555555555555556'",'河南濮阳','河南濮阳宏进农副产品批发市场有限公司（原河南濮阳蔬菜瓜果批发市场）','0','http://'
'null','山东临沂','山东临沂蔬菜批发市场','33','null'
'null','山东泰山','山东泰山蔬菜瓜果批发市场','0','null'
'null','烟台蛇窝','山东烟台蛇窝泊果品批发市场','0','null'
"'120.4020,36.1711'",'青岛华中','山东青岛华中蔬菜批发市场','0','http://'
"'122.173333333,37.371111111'",'威海农批市场','山东威海市农副产品批发市场','0','http://www.whnp.cn/'
"'120.37,36.3026'",'青岛城阳','青岛市城阳蔬菜水产品批发市场有限公司','38','http://www.cncyms.cn'
"'118.02045,37.372325'",'鲁滨州六街','山东滨州(六街）鲁北蔬菜批发市场','44','http://'
"'122.107911111111111111111111111111111111,37.4972861111111111111111111111111111111'",'威海水产品','山东威海水产品批发市场','47','http://www.wh-fishmarket.com/'
'null','郑州柳林','河南郑州柳林水产品批发市场','25','null'
'null','洛阳菜果','河南洛阳菜果副食品批发市场','0','null'
"'112.56488888888889,26.8828'",'湘衡阳西园','湖南衡阳市西园农副产品批发大市场有限公司','0','http://'
'null','湘株洲果品','湖南株洲市神农果业有限公司','20','null'
'null','广州白云山','广东广州白云山农副产品批发市场','0','null'
'null','深圳布吉','广东深圳市布吉农产品批发市场','0','null'
'null','东莞果菜','广东东莞市果菜公司','0','http://'
'null','广东南海','广东南海市盐步环球水产交易市场','0','null'
"'113.0714,22.5702'",'粤江门水产','广东江门水产冻品副食批发市场','0','http://'
"'116.72095277778,23.418261111111'",'广东汕头','广东汕头农副产品批发中心市场','20','http://'
'null','粤深圳福田','广东深圳福田农产品批发市场','57','null'
'null','粤潮州枫春','广东潮州市枫春果菜水产批发市场','0','null'
'null','广东佛山','广东佛山市南海区大沥桂江农产品综合批发市场','0','null'
"'113.062791,22.551197'",'粤江门水果','广东江门市新会区水果食品批发市场有限公司','0','http://'
'null','海南海口','海南海口六合批发市场','0','null'
'null','琼海农产品','海南省琼海市农贸产品批发市场','0','null'
'null','亚物海南','亚洲物流(天津)有限公司海口营运中心','0','null'
'null','桂南宁果菜','广西南宁果菜批发市场','0','null'
"'108.286972222222222222222222222222222222,22.8312333333333333333333333333333333333'",'南宁五里亭','广西南宁市五里亭蔬菜批发市场','0','http://'
"'109.33752,24.29183056'",'广西新柳邕','广西新柳邕农产品批发市场有限公司','47','http://xlynp.szap.com/'
"'118.4845391771,31.6730628683'",'马鞍山安民','马鞍山市安民农副产品贸易有限公司','50','http://'
"'116.7721361,33.9'",'皖淮北中瑞','安徽省淮北市中瑞农产品批发市场','40','http://'
'null','南京紫金山','江苏南京市紫金山副食品交易市场','60','http://'
"'119.801208333333333333333333333333333333,31.4038722222222222222222222222222222222'",'江苏宜兴','江苏宜兴市瑞德蔬菜果品批发市场有限公司','0','http://'
"'117.207027777777777777777777777777777778,34.2328388888888888888888888888888888889'",'徐州七里沟','徐州农副产品中心批发市场','36','http://www.qlgncp.com'
"'120.684161111111111111111111111111111111,31.2656888888888888888888888888888888889'",'苏州南环桥','江苏苏州南环桥农副产品批发市场','0','http://www.nhqnm.com'
"'119.857952777777777777777777777777777778,31.7786972222222222222222222222222222222'",'江苏常州','江苏凌家塘市场发展有限公司水产品交易区','73','http://'
"'120.299363888888888888888888888888888889,31.6078611111111111111111111111111111111'",'无锡朝阳','江苏无锡朝阳农产品大市场','0','http://www.chinachaoyang.com'
"'119.44815,32.3751305555555555555555555555555555556'",'苏扬州联谊','江苏联谊农副产品批发市场','36','http://'
'null','杭州肉类','浙江杭州肉类批发市场','32','null'
"'121.5553820663,29.8419229071'",'浙宁波蔬菜','浙江宁波市蔬菜副食品批发交易市场','0','http://'
"'120.37376,36.0975916'",'青岛抚顺路','青岛抚顺路蔬菜副食品批发市场股份有限公司','0','http://'
'null','烟台白石路','山东烟台市白石路批发市场','50','null'
'null','山东沂源','山东沂源农业局','0','http://'
'null','鲁平安肉类','山东济南平安肉类批发市场','0','http://'
"'116.6361,39.9150'",'北京八里桥','北京八里桥农产品中心批发市场有限公司','0','http://www.bjblq.com/'
'null','北京天华盛','北京西郊天华盛综合批发市场','120','null'
'null','北京西郊','北京西郊粮油批发市场','0','http://'
"'116.619,40.1275555555555555555555555555555555556'",'北京石门','北京顺鑫石门农副产品批发市场','0','http://www.sysmsc.com/'
'null','武汉武泰闸','湖北武汉市武泰闸批发市场','67','null'
"'114.1862,30.6021361111'",'武汉皇经堂','武汉武商皇经堂农副产品批发市场有限公司','0','http://www.whhjt.com.cn/'
'null','湖北武汉','湖北武汉农产品中心批发市场','42','null'
"'111.30692,30.68518'",'鄂宜昌金桥','湖北宜昌金桥农产品有限公司果菜批发市场','0','http://'
"'114.910977777777777777777777777777777778,30.3952666666666666666666666666666666667'",'鄂州蟠龙','湖北鄂州市蟠龙蔬菜批发市场','0','http://'
"'115.268838888888888888888888888888888889,30.446425'",'湖北浠水','湖北浠水农产品批发市场','53','http://www.438200.net'
"'110.780861,32.6613167'",'鄂十堰神定河','十堰神定河农产品中心批发市场','82','http://'
"'113.456572222222222222222222222222222222,29.8129277777777777777777777777777777778'",'鄂洪湖农贸','湖北省洪湖农贸市场','0','http://'
"'114.262311111111111111111111111111111111,30.4671833333333333333333333333333333333'",'武汉白沙洲','武汉白沙洲农副产品大市场有限公司','37','http://www.whbsz.com.cn'
'null','湖南株洲','湖南株州中南蔬菜批发市场','59','null'
'null','桂林八里街','广西桂林八里街农副产品批发市场','0','null'
'null','川成都农副','四川成都市农副产品批发贸易中心','0','null'
'null','重庆杨家坪','重庆杨家坪批发市场','0','null'
"'106.479647,29.57895'",'重庆观农贸','重庆观音桥市场有限公司','0','http://www.cqgnm.net/'
"'103.85377777777777778,30.6841222'",'川成都禽蛋','四川成都西部禽蛋批发市场','0','http://'
'null','重庆永川','重庆永川农副产品综合批发市场','4','null'
'null','成都唐家寺','四川成都青白江区唐家寺牲畜批发市场','0','null'
'null','川宜宾西郊','四川省宜宾市翠屏区西郊石龙蔬菜批发市场','0','null'
"'104.296238,30.586119'",'川成都聚和','四川成都龙泉聚和(国际)果蔬菜交易中心','0','http://'
'null','合肥坝上街','安徽合肥市坝上街批发市场','23','null'
"'117.29,31.85'",'合肥周谷堆','安徽合肥周谷堆农产品批发市场','0','http://www.hfzgncp.com.cn/'
'null','贵州三桥','贵州贵阳市三桥果品批发市场','77','null'
'null','西安胡家庙','陕西西安胡家庙蔬菜批发市场','0','http://'
'null','汉中过街楼','陕西汉中皇冠过街楼蔬菜批发市场','0','http://'
'null','胡家庙水产','陕西西安新城区胡家庙水产品批发市场','0','null'
'null','西安新土门','陕西西安新土门蔬菜批发市场','0','null'
'null','陕西西安','陕西西安长安区绿色无公害蔬菜副食市场','0','null'
'null','兰州张苏滩','甘肃兰州张苏滩瓜果批发市场','0','http://'
"'112,25.75096'",'甘肃靖远','甘肃靖远县瓜果蔬菜批发市场','0','http://'
"'113.098108333333333333333333333333333333,36.194125'",'晋金鑫瓜果','山西长治市金鑫瓜果批发市场','38','http://www.jxggpf.cn/'
'null','甘皋兰百信','甘肃兰州皋兰县百信蔬菜批发市场','33','null'
'null','青海西宁','青海西宁古城台批发市场','0','null'
'null','西宁交通巷','青海西宁市交通巷综合批发市场','0','null'
'null','西宁曹家寨','青海西宁曹家寨蔬菜瓜果批发市场','0','null'
'null','新疆肉类','新疆乌鲁木齐肉类批发市场','0','null'
"'87.57437,43.8203194'",'新疆北园春','乌鲁木齐北园春（集团）有限责任公司北园春市场','0','http://www.xjnmw.com'
"'87.5905027777777777777777777777777777778,43.7672944444444444444444444444444444445'",'新疆凌庆','新疆乌鲁木齐凌庆蔬菜果品有限公司','107','http://'
"'84.856769,45.607702'",'新克拉玛依','新疆克拉玛依农副产品批发市场','0','http://www.klmysc.com/'
"'115.99670,40.45939'",'北京日上','北京日上综合商品批发市场有限公司','0','http://www.bjrssc.com/'
"'116.95,36.6703'",'济南堤口果品','济南堤口果品批发发展有限责任公司','0','http://www.sd-fruit.com'
'null','闽厦门禽蛋','福建厦门畜禽蛋批发市场','47','null'
"'112.835605555555555555555555555555555556,35.5234555555555555555555555555555555556'",'晋晋城绿盛','晋城市绿盛农工商实业有限公司农副产品批发市场','0','http://'
"'111.118008333333333333333333333333333333,37.5067944444444444444444444444444444444'",'晋吕梁离石','山西瘟菏欣胧区马茂庄常青蔬菜瓜果综合市场','34','http://'
"'102.265733333333333333333333333333333333,27.8928722222222222222222222222222222222'",'川西昌广平','四川西昌广平市场开发管理有限公司','19','http://'
"'112.1501,32.075'",'湖北襄阳','襄阳市洪沟农副产品股份有限公司','0','http://xyhgncp.com'
'null','大连果菜','大连棉麻有限公司果菜批发市场','0','http://'
'null','南京惠民桥','南京市惠民桥市场管理有限公司','0','http://'
"'116.3229889253,35.0520960447'",'凯盛物流园','金乡凯盛国际农产品物流园','0','http://www.kswly.cn'
"'101.7963657330,36.5975888322'",'青海百德','青海百德投资发展有限公司','59','http://'
"'113,23.071464'",'佛山中南市场','佛山中南农产品交易中心','2','http://www.southmkt.com'
