"'116.222469444444444444444444444444444444,40.1974777777777777777777777777777777778'",'北京水屯','北京水屯农副产品批发市场中心','103','http://www.bjstsc.com'
'null','上海曹安','上海曹安菜篮子股份有限公司','67','http://'
"'117.2495555,39.169575'",'天津金钟','天津市金钟蔬菜批发市场','0','http://www.jinzhong.com/newversion/'
"'114.423,38.062'",'石家庄桥西','石家庄桥西蔬菜中心批发市场有限公司','37','http://www.qxshucai.com'
'null','冀衡水东明','河北衡水市农业信息中心','71','http://'
"'117.5098,36.8679722222222222222222222222222222222'",'山东章丘','山东章丘刁镇蔬菜批发市场','0','http://'
"'116.33055,39.8160027777777777777777777777777777778'",'北京新发地','北京新发地农副产品批发市场信息中心','46','http://www.xinfadi.com.cn'
"'125.3832,45.1294'",'吉林三井子','扶余市三井子园区市场建设运营有限公司','0','http://'
'null','甘肃定西','甘肃省定西市安定马铃薯综合交易中心','9','http://'
'null','伊犁62团','新疆伊兵团农四师62团农产品综合批发市场','0','null'
'null','冀新乐花生','河北石家庄新乐花生米批发市场','0','null'
'null','朱召大市场','河南新乡农贸综合批发大市场','0','null'
'null','苏应天水产','江苏南京应天水产有限公司','0','null'
'null','南京农贸','江苏南京农贸中心股份有限公司','0','null'
"'112.60666666667,37.855555556'",'晋太原丈子头','山西太原丈子头农产品物流园（原城东利民）','0','http://www.tyzzt.com'
'null','内蒙古富兴','内蒙古鄂尔多斯市富兴商贸有限公司','57','http://'
'null','鸿鼎市场','内蒙古五原县鸿鼎农贸有限责任公司','0','null'
"'120.42883,41.569'",'辽朝阳果菜','辽宁朝阳市果菜批发市场','0','http://www.cyguocai.com'
'null','齐齐哈尔','齐齐哈尔农副产品中心批发市场有限公司','36','http://'
'null','佳木斯蔬菜','黑龙江省佳木斯市蔬菜副食品批发市场','0','null'
"'107.46551944,31.24518055'",'四川塔沱市场','四川省达州市塔沱农副产品批发市场','0','http://'
"'106.6072850000,26.4631100000'",'贵阳地利','贵阳地利农产品物流园有限公司','0','http://'
"'113.009894,28.1107194'",'湘红星市场','红星实业集团有限公司红星农副产品大市场','0','http://www.hxdsc.net'
'null','温州菜篮子','温州菜篮子农副产品批发市场','0','http://'
"'119.8287940000,28.9130900000'",'金华农产品','浙江金华农产品批发市场','0','http://www.jhncp.com'
"'120.6235976289,30.0275274771'",'浙江绍兴','绍兴市蔬菜果品批发交易市场有限公司','0','http://www.sxncp.com.cn'
'null','浙江杭州','浙江杭州果品有限公司艮山门批发市场','46','null'
"'118.1655,24.7226'",'闽南果蔬','福建厦门同安闽南果蔬批发市场','0','http://'
"'120.21,27.31'",'闽福鼎农贸','福建福鼎闽浙边界农贸中心市场','20','http://'
"'122.232374,43.588334'",'丰盛农产品物流园','通辽丰盛农产品物流园','52','http://'
'null','漯河农批','河南漯河市农产品批发市场','0','null'
"'116.2499807789,35.0797582134'",'鲁金乡大蒜','山东金乡大蒜专业批发市场','0','http://'
"'114.120897,32.103947'",'豫信花生','河南信阳市平桥区农业局(河南信阳长台关花生批发市场)','6','http://'
"'114.0039820000,34.6981610000'",'豫万邦国际','河南万邦国际农产品物流股份有限公司','0','http://www.wbncp.com'
"'109.742461111111111111111111111111111111,28.3321944444444444444444444444444444445'",'湖南吉首','湖南吉首市蔬菜果品批发大市场','121','http://'
"'112.360230555555555555555555555555555556,28.5939527777777777777777777777777777778'",'湘益阳团洲','湖南益阳市团洲蔬菜批发市场','39','http://'
"'113.232599,23.17947'",'广州江南果菜','广州江南果菜批发市场经营管理有限公司','0','http://www.jnmarket.net'
"'116.484380555555555555555555555555555556,31.7397277777777777777777777777777777778'",'裕安紫竹林','安徽六安市裕安区紫竹林农产品批发市场','29','http://'
'null','皖祁门阊江','安徽省黄山市祁门县阊江茶叶市场','18','null'
'null','南京白云亭','江苏南京白云亭市场发展（集团）公司','0','null'
'null','苏淮安清江','江苏淮安市清江农副产品批发市场有限公司','0','null'
'null','山东寿光','山东寿光蔬菜批发市场有限公司','0','http://'
"'116.5959,37.32018'",'德州黑马','山东德州黑马农贸水产批发市场','0','http://'
'null','豫焦作农副','河南焦作市农副产品综合批发市场','32','null'
"'112.510852777777777777777777777777777778,33.0157666666666666666666666666666666667'",'豫南阳果品','河南南阳果品批发交易中心','0','http://www.nygpsc.cn'
"'113.955608333333333333333333333333333333,30.8977777777777777777777777777777777778'",'鄂孝感南大','湖北省孝感市南大农产品批发市场','35','http://'
"'113.15094722,28.1306'",'长沙马王堆','湖南长沙马王堆农产品股份有限公司','34','http://'
"'113.171322222222222222222222222222222222,29.37'",'岳阳花板桥','湖南岳阳花板桥市场开发有限公司','56','http://'
'null','川彭州蔬菜','四川彭州蔬菜批发市场','52','http://'
"'104.026948,30.570589'",'成都农产品','四川成都农产品中心批发市场','0','http://'
"'106.08926,30.83814'",'川南充川北','四川南充川北农产品交易有限公司','23','http://'
"'115.8056109622,32.9148872693'",'安徽阜阳农批','阜阳农产品中心批发市场','29','http://www.ahfyncp.com'
'null','西部牧业','新疆生产建设兵团农八师沙依巴克畜产品交易市场','28','null'
'null','晋忻州果菜','山西省忻州市忻府区超市菜果批发市场','0','null'
'null','余江花生','江西余江县刘家站花生市场','0','null'
"'121.6279778738,42.0219676632'",'阜新瑞轩蔬菜','辽宁阜新市瑞轩蔬菜农副产品综合批发市场','0','http://'
'null','常德市牲猪','湖南省常德市谢家铺牲猪交易大市场','56','null'
'null','海湖路市场','西宁市海湖路蔬菜瓜果综合批发市场','0','http://'
"'117.0926361111,39.20515555'",'天津韩家墅','天津韩家墅海吉星农产品物流有限公司','0','http://hjshjx.szap.com/'
"'108.6938830000,34.3054680000'",'咸阳新阳光','陕西咸阳新阳光农副产品有限公司','43','http://'
"'107.1879016141,27.6874969257'",'黔虾子辣椒','贵州省遵义虾子辣椒批发市场','53','http://'
'null','甘临夏市场','甘肃临夏州金临农副产品批发市场','0','null'
"'106.2979,38.47711'",'银川北环','宁夏银川北环蔬菜果品综合批发市场管理有限公司','0','http://'
"'106.217491667,38.001094'",'宁吴忠鑫鲜','吴忠市鑫鲜农副产品市场有限公司','30','http://'
"'87.6346027777777778,43.9462194444444444444'",'新疆通汇','新疆通汇市场有限公司','56','http://'
"'82.0686861111111111111111111111111111111,44.8844055555555555555555555555555555556'",'新三和市场','新疆兵团第五师三和农副产品综合批发市场','41','http://'
'null','鄱阳湖水产','江西鄱阳湖国际水产城','99','null'
"'106.949622222222222222222222222222222222,27.7187305555555555555555555555555555556'",'遵义坪丰','贵州遵义坪丰农副产品综合批发市场','0','http://'
'null','北大荒粮油','黑龙江北大荒粮油批发市场有限责任公司','0','null'
'null','川鸿通市场','四川省绵阳市鸿通农贸市场','0','null'
'null','天津范庄子','天津市静海县范庄子蔬菜批发中心','0','http://'
"'116.5587,38.28020'",'冀沧州红枣','中国沧州红枣批发市场','0','http://www.cuierzhuang.com'
"'112.76245,37.743397'",'汇隆农产品市场','山西榆次汇隆农产品综合市场有限公司','1','http://www.sxhuilong.cn/'
'null','运城市场','广州运达运城果品贸易有限公司','0','null'
"'119.8669340455,31.7687259199'",'江苏凌家塘','江苏凌家塘市场发展有限公司','0','http://www.ljt.cn/'
"'101.6858470000,36.6704460000'",'青仁杰粮油','青海西宁仁杰粮油批发市场有限公司','0','http://'
"'118.715725,36.894925'",'寿光物流园','中国寿光地利农产品物流园有限公司','4','http://'
"'98.51153,39.721863'",'甘酒泉春光','甘肃酒泉春光农产品市场有限责任公司','32','http://'
'null','浙鼎顺蔬菜','浙江浙西鼎顺蔬菜批发市场','0','http://'
'null','浙宁波江北','宁波江北名特优农副产品批发交易市场','0','http://www.nbmty.com'
"'105.824789,32.425825'",'川广元资博','四川资博农副产品股份有限公司','0','http://www.gyzbgs.com'
"'118.882486111111111111111111111111111111,31.9904611111111111111111111111111111111'",'苏众彩物流','南京农副产品物流配送中心有限公司','33','http://njfnwl.com'
'null','川国际农产品','四川国际农产品交易中心','34','http://www.cdmy.org.cn'
"'110.211847,19.594778'",'海口南北市场','海口南北蔬菜批发市场有限公司','0','http://'
'null','晋九州农副','太原市九州农副产品批发市场有限公司','34','http://'
"'101.391499,36.395221'",'青海青藏高原','青藏高原农副产品集散中心','0','http://www.qhncp.com'
'null','大连水产品','大连水产品交易市场有限公司','0','http://'
"'120.102094,36.014963'",'青岛黄河路','山东青岛黄河路农产品批发市场','0','http://'
'null','云华潮水产','云南华潮实业有限公司水产品批发市场','48','http://kmhuachao.cn.alibaba.com/'
"'103.95939500,36.0331700000'",'兰州大青山','兰州大青山蔬菜瓜果批发市场服务有限公司','0','http://www.lzdqs.com'
"'120.108447222222222222222222222222222222,30.3810694444444444444444444444444444445'",'杭州农产品','浙江杭州农副产品物流中心','0','http://'
'null','新发地双桥','北京新发地双桥农副产品批发市场有限公司','0','http://'
'null','辽盛发菜果','沈阳盛发菜果批发有限公司','0','http://'
"'106.3003971512,29.4283973051'",'重庆双福','重庆双福国际农贸城','0','http://www.sfgjnm.com/'
"'114.66994444444,33.59414722222'",'河南周口黄淮','周口市黄淮港农产品批发市场有限公司','26','http://'
'null','冀承德围场','河北承德围场镇南蔬菜批发市场','0','http://'
"'121.35405,31.2573555555555555555555555555555555556'",'上海江桥','上海市江桥批发市场经营管理有限公司','0','http://www.shjqpfsc.com'
'null','西安德鑫市场','西安德鑫农产品市场有限公司','21','http://www.dxncp.com'
"'117.38556,32.98417'",'蚌埠海吉星','蚌埠海吉星农产品物流有限公司','0','http://'
"'87.484134,43.784971'",'新疆九鼎','新疆九鼎恒兴蔬菜经营管理有限公司','48','http://www.xj9d.com'
"'108.8380527,34.250075'",'西部欣桥','西部欣桥农产品物流中心','40','http://xlsy.com.cn/'
"'112.23255,30.355552'",'两湖绿谷','两湖绿谷物流股份有限公司','25','http://www.hblante.com'
"'120.0173407128,29.1961893841'",'浙中农副市场','义乌市市场发展集团有限公司农批管理分公司','53','http://'
